pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.2875769406854269,-0.25001076145467904,0.00020676146578633842,0.0013338871504445103,162,FirstReading,all,,3,10,162,162,***,**
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.5429549222945864,-0.4984520123839009,0.019888923814473186,0.03525363586497097,18,FirstReading,1,,3,1,18,18,*,*
mean_HigherPassFixation,flesch_reading_ease,Adv,0.0025588166990652764,-0.002450980392156863,0.9922234709558598,0.992551188788469,17,FirstReading,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.3303604371320378,-0.3054945054945055,0.2486609039518959,0.2881698858754571,14,FirstReading,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.513111151672172,-0.43627450980392163,0.035168023033383435,0.0799888724598653,17,FirstReading,4,,3,1,17,17,*,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.13503259334870374,-0.0989010989010989,0.6453311937801256,0.7365853699253172,14,FirstReading,5,,3,1,14,14,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.12830756710108132,0.06071428571428571,0.6485958632812522,0.8298120954425188,15,FirstReading,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.5389891000827635,-0.5416666666666667,0.02557758195408913,0.02471480173457982,17,FirstReading,7,,3,1,17,17,*,*
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.20904558143228447,-0.2622549019607843,0.4206923476811596,0.309208659898238,17,FirstReading,8,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,0.005526925912505171,-0.14705882352941177,0.9837926322600795,0.5867933937012053,16,FirstReading,9,,3,1,16,16,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.2547683564789454,-0.14101780700826386,0.3237224722089678,0.5892976739909461,17,FirstReading,10,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,-0.07494710958529817,-0.08727113120069221,0.34319659673619607,0.26946860494884445,162,FirstReading,all,,3,10,162,162,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,0.19900132344300095,0.05056759545923632,0.42856778722636957,0.8420557303322881,18,FirstReading,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,0.40142863802363493,0.25873701981516234,0.1102457435377915,0.31597987334066663,17,FirstReading,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,-0.23114773061379573,-0.2703296703296703,0.42655688416619825,0.3499193863496043,14,FirstReading,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,-0.44696447688229957,-0.3850399252225639,0.07205727685131498,0.12696307569625728,17,FirstReading,4,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,0.4418453214778616,0.5544557810575028,0.11369790903212997,0.039624379972849795,14,FirstReading,5,,3,1,14,14,ns,*
mean_HigherPassFixation,flesch_reading_ease,Ele,0.18785908598409293,0.25,0.5025621178023965,0.36884629178393047,15,FirstReading,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,-0.10319781214357433,-0.19117647058823534,0.6934771362647595,0.46232612062451384,17,FirstReading,7,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,-0.1233208077989071,-0.12500000000000003,0.637253744168213,0.6326406085600336,17,FirstReading,8,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,-0.06542547346646675,-0.035320097862315616,0.8097642063051258,0.896677625761926,16,FirstReading,9,,3,1,16,16,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,-0.4810607788627739,-0.4730392156862746,0.05059339017780881,0.05514448179993543,17,FirstReading,10,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,-0.008947998356087446,-0.05041083439932956,0.9100228067789182,0.5240845112344021,162,FirstReading,all,,3,10,162,162,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,0.002547588644730917,-0.013415892672858616,0.9919953688144394,0.9578637574487228,18,FirstReading,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,-0.34512291104573734,-0.3088235294117647,0.1748709891063565,0.227785653323252,17,FirstReading,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,0.4468951724517124,0.2351648351648352,0.10914700649285614,0.4183338961985912,14,FirstReading,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,-0.11632519815092575,-0.10790927840632364,0.6566065809546399,0.6801641317736395,17,FirstReading,4,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,0.06803964730104732,-0.0857142857142857,0.8172277914989533,0.7707850311186757,14,FirstReading,5,,3,1,14,14,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,0.07351405955222294,0.13214285714285715,0.7945786123430236,0.6387442188840665,15,FirstReading,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,-0.5005276586901072,-0.5833333333333334,0.040722345853550584,0.013970829934522285,17,FirstReading,7,,3,1,17,17,*,*
mean_HigherPassFixation,flesch_reading_ease,diff,-0.05881729400966821,-0.2132352941176471,0.8225773963817841,0.4112256782090655,17,FirstReading,8,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,0.09258700734707576,0.08529411764705883,0.733073548167793,0.7534650694747833,16,FirstReading,9,,3,1,16,16,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,-0.14641016639879667,-0.21813725490196081,0.574988581717979,0.4002950907115109,17,FirstReading,10,,3,1,17,17,ns,ns
mean_HigherPassFixation,dale_chall_score,Adv,0.3690715170569858,0.34739574927308836,1.3458169555371458e-06,5.919048407181072e-06,162,FirstReading,all,,3,10,162,162,***,***
mean_HigherPassFixation,dale_chall_score,Adv,0.4000167462085853,0.29411764705882354,0.10000955388329043,0.23614329729664102,18,FirstReading,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,dale_chall_score,Adv,0.2103168138838991,0.0760269916044553,0.4178079598960563,0.77180846218316,17,FirstReading,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,dale_chall_score,Adv,0.20570225582347934,0.27472527472527475,0.48049272088206524,0.34182974371948127,14,FirstReading,3,,3,1,14,14,ns,ns
