pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_NF,flesch_reading_ease,Adv,-0.24753180040043699,-0.23739908082943414,0.0014945505170274142,0.0023516341330657125,162,FirstReading,all,,3,10,162,162,**,**
mean_NF,flesch_reading_ease,Adv,-0.6629502866236442,-0.6821465428276574,0.0027116875251907697,0.0018170810177521779,18,FirstReading,1,,3,1,18,18,**,**
mean_NF,flesch_reading_ease,Adv,0.12633260855909445,0.14950980392156862,0.6289887010930716,0.5668307307163287,17,FirstReading,2,,3,1,17,17,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.4895441860469176,-0.4241758241758242,0.07560852925601877,0.13063731043811047,14,FirstReading,3,,3,1,14,14,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.488662632028706,-0.4730392156862746,0.046545967630025366,0.05514448179993543,17,FirstReading,4,,3,1,17,17,*,ns
mean_NF,flesch_reading_ease,Adv,0.1329181558604383,0.14725274725274726,0.6505594485266268,0.6154187624847252,14,FirstReading,5,,3,1,14,14,ns,ns
mean_NF,flesch_reading_ease,Adv,0.21826238380314217,0.22499999999999998,0.4345178644525697,0.420104686907635,15,FirstReading,6,,3,1,15,15,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.4221254313074265,-0.4338235294117647,0.09143917571739046,0.08189345203365929,17,FirstReading,7,,3,1,17,17,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.050714590562558316,-0.16421568627450983,0.8467257894466761,0.5288225629141268,17,FirstReading,8,,3,1,17,17,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.18717157346774482,-0.18823529411764706,0.48760207589325394,0.4850866091454682,16,FirstReading,9,,3,1,16,16,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.42689783359243255,-0.3188228680186835,0.08745291529143834,0.2122955775942465,17,FirstReading,10,,3,1,17,17,ns,ns
mean_NF,flesch_reading_ease,Ele,-0.11328897583506234,-0.12190295811752873,0.15117518082664064,0.12226750465274779,162,FirstReading,all,,3,10,162,162,ns,ns
mean_NF,flesch_reading_ease,Ele,-0.1202925238318367,-0.23013415892672856,0.6344651258652876,0.35825371050744326,18,FirstReading,1,,3,1,18,18,ns,ns
mean_NF,flesch_reading_ease,Ele,0.4930167586743366,0.4156959702243604,0.04434038093846554,0.09701398218450408,17,FirstReading,2,,3,1,17,17,*,ns
mean_NF,flesch_reading_ease,Ele,-0.4291675477547211,-0.5164835164835165,0.12568981660642484,0.05863716344127844,14,FirstReading,3,,3,1,14,14,ns,ns
mean_NF,flesch_reading_ease,Ele,-0.6586789609346446,-0.5947272730348518,0.00403614271294596,0.011799248915537934,17,FirstReading,4,,3,1,17,17,**,*
mean_NF,flesch_reading_ease,Ele,0.45608602800574616,0.5610564451177111,0.10118796359193503,0.03685158786114069,14,FirstReading,5,,3,1,14,14,ns,*
