pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
reading_speed,flesch_reading_ease,Adv,0.36737034499057913,0.35989505262220417,1.2405937827741317e-29,2.0059320387092495e-28,884,FirstReading,all,,3,10,162,884,***,***
reading_speed,flesch_reading_ease,Adv,0.463012483386818,0.40500280862626836,3.813673557079096e-06,6.830661491548169e-05,91,FirstReading,1,,3,1,18,91,***,***
reading_speed,flesch_reading_ease,Adv,0.24310162181883707,0.286295135053759,0.013816466204700955,0.0035327418832620636,102,FirstReading,2,,3,1,17,102,*,**
reading_speed,flesch_reading_ease,Adv,0.41172841583570213,0.40351063980700136,6.106815172527542e-05,8.818847029748897e-05,89,FirstReading,3,,3,1,14,89,***,***
reading_speed,flesch_reading_ease,Adv,0.3169467661865977,0.24026632620346472,0.004176843724209362,0.03181410495455462,80,FirstReading,4,,3,1,17,80,**,*
reading_speed,flesch_reading_ease,Adv,0.21255271853000904,0.25959208484592894,0.07730027933479752,0.029995633959549982,70,FirstReading,5,,3,1,14,70,ns,*
reading_speed,flesch_reading_ease,Adv,0.3428423733258634,0.3936870234903695,0.002270929608342819,0.00039668894117185597,77,FirstReading,6,,3,1,15,77,**,***
reading_speed,flesch_reading_ease,Adv,0.25526323725771904,0.31509692155756447,0.0063589505620221054,0.0006755674174867566,113,FirstReading,7,,3,1,17,113,**,***
reading_speed,flesch_reading_ease,Adv,0.4363595353777529,0.4424509859047118,8.817607631637623e-06,6.374644723662309e-06,96,FirstReading,8,,3,1,17,96,***,***
reading_speed,flesch_reading_ease,Adv,0.4351840447092906,0.4036193927519971,2.2631843987365005e-05,9.642929767109796e-05,88,FirstReading,9,,3,1,16,88,***,***
reading_speed,flesch_reading_ease,Adv,0.3875618825455036,0.40259255882331507,0.00045546664926821175,0.000258074328263092,78,FirstReading,10,,3,1,17,78,***,***
reading_speed,flesch_reading_ease,Ele,0.24314848868084427,0.2325166084141739,4.281474165750909e-12,3.693885005407144e-11,790,FirstReading,all,,3,10,162,790,***,***
reading_speed,flesch_reading_ease,Ele,0.27957419811344475,0.3261327300686984,0.014450576073819053,0.004039061917298957,76,FirstReading,1,,3,1,18,76,*,**
reading_speed,flesch_reading_ease,Ele,0.26719397356783636,0.22289178538966453,0.00923054808309046,0.030823419417126047,94,FirstReading,2,,3,1,17,94,**,*
reading_speed,flesch_reading_ease,Ele,0.4929715762687188,0.4612047983980351,4.534766447691848e-06,2.141369044360281e-05,78,FirstReading,3,,3,1,14,78,***,***
