pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.22936281961630695,-0.24127883799581706,0.0033252858191515004,0.0019812658914370087,162,RepeatedReading,all,,3,10,162,162,**,**
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.24472066388048602,-0.20330237358101136,0.3277213680073733,0.4184467334719628,18,RepeatedReading,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,0.2533878361409755,0.32843137254901966,0.3264414903468117,0.19806893186877195,17,RepeatedReading,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.17519024798861593,-0.16043956043956045,0.5491393617224346,0.5837527526413409,14,RepeatedReading,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.7023543639731962,-0.7475490196078433,0.0016684805414250309,0.0005612381524319418,17,RepeatedReading,4,,3,1,17,17,**,***
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.5431996722765364,-0.4021978021978022,0.044702342070490765,0.15397442954140356,14,RepeatedReading,5,,3,1,14,14,*,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,0.13304752323299046,-0.007142857142857141,0.6364284925371807,0.9798442277615982,15,RepeatedReading,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.3035879785730153,-0.36764705882352944,0.23617621448081402,0.14655429178401483,17,RepeatedReading,7,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.25712788913457413,-0.23529411764705882,0.3191059447745836,0.363295114375383,17,RepeatedReading,8,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.29701885015809254,-0.3970588235294118,0.26393036374922224,0.1278060090882619,16,RepeatedReading,9,,3,1,16,16,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.3356878153849212,-0.39730234322328245,0.18774891208826924,0.11429931264110527,17,RepeatedReading,10,,3,1,17,17,ns,ns
