pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_nonzero_TF,flesch_reading_ease,Adv,-0.3074125026491196,-0.31399117330462345,8.395869714025115e-21,1.1180278623202872e-21,884,FirstReading,all,,3,10,162,884,***,***
mean_nonzero_TF,flesch_reading_ease,Adv,-0.47329987643952176,-0.45714126599759475,2.1587229522720424e-06,5.234126965176134e-06,91,FirstReading,1,,3,1,18,91,***,***
mean_nonzero_TF,flesch_reading_ease,Adv,-0.10192257141713497,-0.10208386390642261,0.30804232112944363,0.3072733801602311,102,FirstReading,2,,3,1,17,102,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.29264826546413825,-0.2566324604599411,0.005385633942388726,0.015197151236056139,89,FirstReading,3,,3,1,14,89,**,*
mean_nonzero_TF,flesch_reading_ease,Adv,-0.07295293292061569,-0.04402792219447789,0.5201598214548718,0.6981728892180593,80,FirstReading,4,,3,1,17,80,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.3081960310292073,-0.30365659001257644,0.009441539788173513,0.010604200229186005,70,FirstReading,5,,3,1,14,70,**,*
mean_nonzero_TF,flesch_reading_ease,Adv,-0.38739629813344767,-0.43566400425590585,0.0004999943279927528,7.49018602799075e-05,77,FirstReading,6,,3,1,15,77,***,***
mean_nonzero_TF,flesch_reading_ease,Adv,-0.24396557708180627,-0.29316332120523503,0.009213565336457506,0.001625679485222518,113,FirstReading,7,,3,1,17,113,**,**
mean_nonzero_TF,flesch_reading_ease,Adv,-0.33316091374256634,-0.406609396894908,0.0009104502184818431,3.942342289482333e-05,96,FirstReading,8,,3,1,17,96,***,***
mean_nonzero_TF,flesch_reading_ease,Adv,-0.4699513165440016,-0.43336709219816566,3.846030919504752e-06,2.469893011942049e-05,88,FirstReading,9,,3,1,16,88,***,***
mean_nonzero_TF,flesch_reading_ease,Adv,-0.34569466403225446,-0.3383097801433217,0.001935384479580496,0.002449595115898089,78,FirstReading,10,,3,1,17,78,**,**
mean_nonzero_TF,flesch_reading_ease,Ele,-0.20011296313752294,-0.21786112799970736,1.4020668308285192e-08,6.085791257900134e-10,790,FirstReading,all,,3,10,162,790,***,***
mean_nonzero_TF,flesch_reading_ease,Ele,-0.24277961270062778,-0.26924339118147383,0.034587696956720745,0.018676843103017985,76,FirstReading,1,,3,1,18,76,*,*
mean_nonzero_TF,flesch_reading_ease,Ele,-0.2736659228138068,-0.24037746098104773,0.007609023107340295,0.01961188273237628,94,FirstReading,2,,3,1,17,94,**,*
