pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
SkipRateTotal,depid_density,Adv,-0.1025847434719514,-0.1327687166203151,0.0022595674548782,7.512152984484449e-05,884,Hunting0,all,,3,10,162,884,**,***
SkipRateTotal,depid_density,Adv,-0.1413289411588256,-0.0716721159379839,0.1814600802838141,0.49959576745639,91,Hunting0,1,,3,1,18,91,ns,ns
SkipRateTotal,depid_density,Adv,0.0670387978787718,-0.0086140667921709,0.5031970317907598,0.9315243015894455,102,Hunting0,2,,3,1,17,102,ns,ns
SkipRateTotal,depid_density,Adv,-0.1343927859728995,-0.1717054728977032,0.209246190955376,0.1076293123056143,89,Hunting0,3,,3,1,14,89,ns,ns
SkipRateTotal,depid_density,Adv,-0.1583692158405523,-0.0989979560327009,0.1605942609488072,0.3822938489256111,80,Hunting0,4,,3,1,17,80,ns,ns
SkipRateTotal,depid_density,Adv,-0.1105794938321207,-0.1497728911235394,0.3621294205446846,0.2158936075537209,70,Hunting0,5,,3,1,14,70,ns,ns
SkipRateTotal,depid_density,Adv,-0.2980376459583185,-0.3561131295151252,0.0084731043171745,0.0014795505885461,77,Hunting0,6,,3,1,15,77,**,**
SkipRateTotal,depid_density,Adv,-0.2697485147586435,-0.3211959767704536,0.0038604503022242,0.0005228205175213,113,Hunting0,7,,3,1,17,113,**,***
SkipRateTotal,depid_density,Adv,0.0466042864496327,-0.0380720419334347,0.6520685235041128,0.7126679054228335,96,Hunting0,8,,3,1,17,96,ns,ns
SkipRateTotal,depid_density,Adv,0.0057533603871796,-0.0610596015724283,0.957572524959539,0.5719869451152362,88,Hunting0,9,,3,1,16,88,ns,ns
SkipRateTotal,depid_density,Adv,-0.0571289374199623,-0.0630615996963033,0.6193236215479913,0.5833490150700296,78,Hunting0,10,,3,1,17,78,ns,ns
SkipRateTotal,depid_density,Ele,-0.0744033686834129,-0.0858354023135304,0.0365425699684666,0.0158129115336141,790,Hunting0,all,,3,10,162,790,*,*
SkipRateTotal,depid_density,Ele,-0.1128393036799484,-0.0955645829368155,0.3317918077810287,0.4115396760609326,76,Hunting0,1,,3,1,18,76,ns,ns
SkipRateTotal,depid_density,Ele,-0.0174348440313606,-0.1067151716841929,0.8675368331525711,0.3059650307970541,94,Hunting0,2,,3,1,17,94,ns,ns
SkipRateTotal,depid_density,Ele,-0.0577243229204294,-0.0461665476525703,0.6156707338043933,0.6881527693966956,78,Hunting0,3,,3,1,14,78,ns,ns
SkipRateTotal,depid_density,Ele,-0.0268770840442689,-0.0528160530027276,0.8177286405156686,0.650458600049192,76,Hunting0,4,,3,1,17,76,ns,ns
SkipRateTotal,depid_density,Ele,0.062438986894136,0.1008400967242555,0.6445038241348318,0.455447128171993,57,Hunting0,5,,3,1,14,57,ns,ns
SkipRateTotal,depid_density,Ele,-0.1769105555978647,-0.1673034050552966,0.1429011719115936,0.1662556080593807,70,Hunting0,6,,3,1,15,70,ns,ns
SkipRateTotal,depid_density,Ele,-0.123191994172231,-0.0921904206173646,0.2220523176561542,0.3616327737772129,100,Hunting0,7,,3,1,17,100,ns,ns
SkipRateTotal,depid_density,Ele,-0.140883470229045,-0.1724525713757014,0.1878782014117238,0.1060839632322234,89,Hunting0,8,,3,1,17,89,ns,ns
SkipRateTotal,depid_density,Ele,-0.0266318866831307,-0.0206083899624712,0.8181599717669289,0.8588023751040579,77,Hunting0,9,,3,1,16,77,ns,ns
SkipRateTotal,depid_density,Ele,-0.1131419292671762,-0.1245096134062248,0.3405570678674028,0.2939295817071602,73,Hunting0,10,,3,1,17,73,ns,ns
SkipRateTotal,depid_density,diff,-0.1154555002822688,-0.1296910275652151,0.0011506490090704,0.0002572901432299,790,Hunting0,all,,3,10,162,790,**,***
SkipRateTotal,depid_density,diff,-0.1152598056612322,-0.1151930806390378,0.3214571656305844,0.3217392665001634,76,Hunting0,1,,3,1,18,76,ns,ns
SkipRateTotal,depid_density,diff,-0.1237451772043183,-0.168742847284036,0.2347251739238686,0.1039892144866842,94,Hunting0,2,,3,1,17,94,ns,ns
SkipRateTotal,depid_density,diff,-0.0316125612457578,-0.0793012945320809,0.7835039939904238,0.4900995031218755,78,Hunting0,3,,3,1,14,78,ns,ns
SkipRateTotal,depid_density,diff,-0.0184606329564983,0.0236143813269412,0.8742343614429946,0.8395401216346101,76,Hunting0,4,,3,1,17,76,ns,ns
SkipRateTotal,depid_density,diff,0.0131435731845197,0.0062929830031069,0.9226966102470652,0.9629445488774714,57,Hunting0,5,,3,1,14,57,ns,ns
SkipRateTotal,depid_density,diff,-0.2760835420958868,-0.2324940703169219,0.020697879155414,0.0527709894402818,70,Hunting0,6,,3,1,15,70,*,ns
SkipRateTotal,depid_density,diff,-0.1348888734832435,-0.1990213272640041,0.1808788402548704,0.0471336527366766,100,Hunting0,7,,3,1,17,100,ns,*
SkipRateTotal,depid_density,diff,-0.2747013260037039,-0.2739089971595226,0.0091816549059859,0.0093932623597258,89,Hunting0,8,,3,1,17,89,**,**
SkipRateTotal,depid_density,diff,-0.0771213970878829,-0.1400347303694799,0.5049877538419348,0.2244817470244027,77,Hunting0,9,,3,1,16,77,ns,ns
SkipRateTotal,depid_density,diff,-0.3488664985900496,-0.2371549768283495,0.0024869931092412,0.0433626944091386,73,Hunting0,10,,3,1,17,73,**,*
SkipRateTotal,max_integration_cost,Adv,0.0171259029015771,0.0153858885371312,0.6110981710574888,0.6477895616111955,884,Hunting0,all,,3,10,162,884,ns,ns
SkipRateTotal,max_integration_cost,Adv,-0.1834643107719448,-0.1741405756678566,0.0817269882445055,0.0987649577024604,91,Hunting0,1,,3,1,18,91,ns,ns
SkipRateTotal,max_integration_cost,Adv,0.092694720548092,0.0567876910841435,0.3541187119384069,0.5707706529314303,102,Hunting0,2,,3,1,17,102,ns,ns
SkipRateTotal,max_integration_cost,Adv,0.1228377141560827,0.1132734383192003,0.2514577546946404,0.2905485454378539,89,Hunting0,3,,3,1,14,89,ns,ns
SkipRateTotal,max_integration_cost,Adv,0.0315901184437954,-0.017262888158008,0.7808794808888245,0.879198630240209,80,Hunting0,4,,3,1,17,80,ns,ns
SkipRateTotal,max_integration_cost,Adv,0.2940530942758972,0.201449709166473,0.0134804553387349,0.0944664286904633,70,Hunting0,5,,3,1,14,70,*,ns
SkipRateTotal,max_integration_cost,Adv,0.0249872724351851,0.0660812304898162,0.829214006289169,0.5679991550709147,77,Hunting0,6,,3,1,15,77,ns,ns
SkipRateTotal,max_integration_cost,Adv,-0.0481070693519964,0.1007011356687479,0.6128620077569894,0.2885690225415033,113,Hunting0,7,,3,1,17,113,ns,ns
SkipRateTotal,max_integration_cost,Adv,-0.0643892818315082,-0.0799873540182509,0.5331093777444875,0.4385234706118237,96,Hunting0,8,,3,1,17,96,ns,ns
SkipRateTotal,max_integration_cost,Adv,-0.0859977831551178,-0.1126024642783678,0.42564079026689,0.2962412863521868,88,Hunting0,9,,3,1,16,88,ns,ns
SkipRateTotal,max_integration_cost,Adv,0.1040195976939992,0.046014032367968,0.3647739535338089,0.6891301415006252,78,Hunting0,10,,3,1,17,78,ns,ns
SkipRateTotal,max_integration_cost,Ele,0.033098508155682,0.0258236667505404,0.3528480235600719,0.4685773159363853,790,Hunting0,all,,3,10,162,790,ns,ns
SkipRateTotal,max_integration_cost,Ele,-0.1093441985701817,-0.0765658153699612,0.3470813304309523,0.5109308713452816,76,Hunting0,1,,3,1,18,76,ns,ns
SkipRateTotal,max_integration_cost,Ele,0.0246057661270142,-0.0467195228315887,0.8138940652070904,0.6547694587099095,94,Hunting0,2,,3,1,17,94,ns,ns
SkipRateTotal,max_integration_cost,Ele,0.0229378911166196,0.0404564211371004,0.8419987764306243,0.7250806601845331,78,Hunting0,3,,3,1,14,78,ns,ns
