pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_HigherPassFixation,depid_density,Adv,0.0998912446582176,0.0838954567107973,0.2059686635107102,0.2884997071816261,162,Hunting0,all,,3,10,162,162,ns,ns
mean_HigherPassFixation,depid_density,Adv,-0.0511397470417228,-0.0815273477812177,0.8402902716896811,0.7477594697936525,18,Hunting0,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,depid_density,Adv,0.1827513263976509,0.196078431372549,0.4826439555737933,0.4507049808818775,17,Hunting0,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Adv,0.037438513091478,-0.0153846153846153,0.8988891315485665,0.9583697893719862,14,Hunting0,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,depid_density,Adv,-0.3366129549222824,-0.3848039215686274,0.186459258908845,0.1272159953159875,17,Hunting0,4,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Adv,-0.2658773644562619,-0.3010989010989011,0.3582197788164005,0.2955144656072166,14,Hunting0,5,,3,1,14,14,ns,ns
mean_HigherPassFixation,depid_density,Adv,0.3137375026426967,0.3071428571428571,0.2548141023558616,0.2654726857102779,15,Hunting0,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,depid_density,Adv,0.1815613053527186,0.1715686274509804,0.4855483198207654,0.5102663098717943,17,Hunting0,7,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Adv,-0.0676251278341709,-0.1715686274509804,0.7964979236635826,0.5102663098717943,17,Hunting0,8,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Adv,0.2777397891494884,0.1929309897938517,0.297637524289582,0.4740574077232795,16,Hunting0,9,,3,1,16,16,ns,ns
mean_HigherPassFixation,depid_density,Adv,0.288529597934939,0.3249540770190428,0.2613867152979378,0.2031433837870669,17,Hunting0,10,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.168128949915478,0.1728166808892473,0.0324673445357261,0.0278681062657452,162,Hunting0,all,,3,10,162,162,*,*
mean_HigherPassFixation,depid_density,Ele,0.4418768741722085,0.3869969040247678,0.0663625848599,0.1126112887827639,18,Hunting0,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.0434357861602666,0.0612745098039215,0.86852987712021,0.8152828502754565,17,Hunting0,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.0657353367079132,0.134065934065934,0.8233273236950212,0.6477195279851131,14,Hunting0,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,depid_density,Ele,-0.0257385257992829,-0.2034313725490196,0.9218887983694908,0.4335552308263205,17,Hunting0,4,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Ele,-0.0230088452376552,-0.1076923076923077,0.9377692594537884,0.7140308087262492,14,Hunting0,5,,3,1,14,14,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.4190715564772698,0.3,0.1199837429043937,0.2773167803683838,15,Hunting0,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.2737174811887014,0.2009803921568627,0.2877476646143314,0.4392338761888676,17,Hunting0,7,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.1474591125017513,0.25,0.5722223273937079,0.3331701359154763,17,Hunting0,8,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.3130221944406793,0.3441176470588235,0.2378085316559169,0.1918556314255429,16,Hunting0,9,,3,1,16,16,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.334441151623685,0.2794117647058823,0.1894960766256962,0.2774303257912213,17,Hunting0,10,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,diff,0.0585822655249829,0.0130136995967884,0.4590009516451108,0.8694464237676204,162,Hunting0,all,,3,10,162,162,ns,ns
mean_HigherPassFixation,depid_density,diff,0.3261833314824682,0.2033023735810113,0.1864991933777753,0.4184467334719628,18,Hunting0,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,depid_density,diff,0.1768627634210079,0.3112745098039216,0.497097767661636,0.2239239360724044,17,Hunting0,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,diff,0.1477508503452595,0.178021978021978,0.6142108187624369,0.5425969526062153,14,Hunting0,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,depid_density,diff,-0.1402327916727407,-0.1274509803921568,0.591392977677838,0.6259301508467394,17,Hunting0,4,,3,1,17,17,ns,ns
