pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_HigherPassFixation,depid_density,Adv,0.0322915096567298,0.0166340060021777,0.6833268345662576,0.8335963187122403,162,Gathering0,all,,3,10,162,162,ns,ns
mean_HigherPassFixation,depid_density,Adv,0.2045322190262624,-0.0608875128998968,0.415576264618188,0.8103299008966292,18,Gathering0,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,depid_density,Adv,0.1592418389220697,0.1323529411764706,0.5415465002143548,0.6125925983674196,17,Gathering0,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Adv,-0.1690044076552241,-0.2483516483516483,0.5635472848577787,0.3919195389384574,14,Gathering0,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,depid_density,Adv,-0.2191954044829708,-0.2254901960784313,0.3979563153350078,0.3841966507618189,17,Gathering0,4,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Adv,-0.567611824582023,-0.6087912087912088,0.0342422060679437,0.0208566160172232,14,Gathering0,5,,3,1,14,14,*,*
mean_HigherPassFixation,depid_density,Adv,0.0891705086229277,-0.0035714285714285,0.7519836520486911,0.989921406880978,15,Gathering0,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,depid_density,Adv,0.3380521443954429,0.3529411764705882,0.184464690964161,0.1646579733164172,17,Gathering0,7,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Adv,-0.0723239113172432,0.0367647058823529,0.7826661740679245,0.8885928675683452,17,Gathering0,8,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Adv,-0.1245300006547346,-0.1251842300189114,0.6458683596167476,0.6441223634552316,16,Gathering0,9,,3,1,16,16,ns,ns
mean_HigherPassFixation,depid_density,Adv,0.0626131362561814,0.0735745080043115,0.8113149630517036,0.7789949811126449,17,Gathering0,10,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.1090125938961547,0.0843894243080111,0.1673163308448257,0.2856601660756914,162,Gathering0,all,,3,10,162,162,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.3386516553180921,0.153766769865841,0.1692382187873835,0.5424031647570589,18,Gathering0,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,depid_density,Ele,-0.0702860657719575,-0.1225490196078431,0.788657648085136,0.639378272107459,17,Gathering0,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.1597319597215175,0.2395604395604395,0.5854350651038008,0.4094298928517326,14,Gathering0,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,depid_density,Ele,-0.1609510907143751,-0.196078431372549,0.5371585553934909,0.4507049808818775,17,Gathering0,4,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.0589723815896088,-0.0197802197802197,0.8412813797642402,0.9464892274080114,14,Gathering0,5,,3,1,14,14,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.1947238960428635,0.1821428571428571,0.4867807186242642,0.5158816817070392,15,Gathering0,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.3193155383962035,0.2769607843137255,0.2115504719160408,0.281843162514077,17,Gathering0,7,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Ele,-0.0539334038942876,-0.0857843137254902,0.837116151419933,0.7433950261372769,17,Gathering0,8,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.1149408148349268,0.1235294117647058,0.6716548161263276,0.6485420669723405,16,Gathering0,9,,3,1,16,16,ns,ns
mean_HigherPassFixation,depid_density,Ele,0.1546577471581818,0.1446078431372549,0.5533931108332262,0.5797547992794121,17,Gathering0,10,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,diff,0.1441240368214164,0.1210608543230575,0.0672858858529724,0.1248892191916797,162,Gathering0,all,,3,10,162,162,ns,ns
mean_HigherPassFixation,depid_density,diff,0.2933518341946763,0.0980392156862745,0.2374227754357154,0.6987424830235279,18,Gathering0,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,depid_density,diff,-0.0754436550462266,-0.3995098039215687,0.7735162484072979,0.1121179088259482,17,Gathering0,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,diff,0.7387424985428566,0.8109890109890111,0.0025440139135925,0.0004322100649076,14,Gathering0,3,,3,1,14,14,**,***
mean_HigherPassFixation,depid_density,diff,-0.2220465038443392,-0.2156862745098039,0.3916915283473551,0.4057406886339277,17,Gathering0,4,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,diff,0.2920558062509012,0.4065934065934066,0.3109627600272868,0.1491019390015134,14,Gathering0,5,,3,1,14,14,ns,ns
mean_HigherPassFixation,depid_density,diff,0.1592131229008187,0.1142857142857142,0.5708701959871989,0.6850657626568972,15,Gathering0,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,depid_density,diff,-0.0302535752414009,-0.0220588235294117,0.9082367717100552,0.9330304490530752,17,Gathering0,7,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,diff,0.4133473824062956,0.4093137254901961,0.0991097558374664,0.102784346815144,17,Gathering0,8,,3,1,17,17,ns,ns
mean_HigherPassFixation,depid_density,diff,0.5730090707152536,0.5735294117647058,0.0203307668063121,0.020191038046523,16,Gathering0,9,,3,1,16,16,*,*
mean_HigherPassFixation,depid_density,diff,-0.0296183878685006,-0.071078431372549,0.9101559866674536,0.7863266619781206,17,Gathering0,10,,3,1,17,17,ns,ns
mean_HigherPassFixation,max_integration_cost,Adv,-0.2221191424935444,-0.3066837560195888,0.004500071786781,7.208373579579192e-05,162,Gathering0,all,,3,10,162,162,**,***
mean_HigherPassFixation,max_integration_cost,Adv,-0.2884755658482537,-0.3023445568308579,0.2456732902349472,0.2226759691399619,18,Gathering0,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,max_integration_cost,Adv,-0.3937502661580548,-0.4145684595728844,0.1178719516862674,0.0980161248962082,17,Gathering0,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,max_integration_cost,Adv,-0.0299125336433686,-0.1479043112634633,0.9191464611145356,0.6138388455130064,14,Gathering0,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,max_integration_cost,Adv,0.0076935451152321,-0.0594460179576366,0.9766211258510517,0.8207096197761705,17,Gathering0,4,,3,1,17,17,ns,ns
mean_HigherPassFixation,max_integration_cost,Adv,-0.7152318971957148,-0.740089901052802,0.0040327045243982,0.0024742306125518,14,Gathering0,5,,3,1,14,14,**,**
mean_HigherPassFixation,max_integration_cost,Adv,-0.3241256306227546,-0.2679925468664818,0.2385632020258262,0.3341899299258359,15,Gathering0,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,max_integration_cost,Adv,0.1342671093827072,0.1884259315571196,0.6074151777167001,0.4689117683359579,17,Gathering0,7,,3,1,17,17,ns,ns
mean_HigherPassFixation,max_integration_cost,Adv,0.0228751229711542,-0.0691807355085706,0.930557718136019,0.7919121457832909,17,Gathering0,8,,3,1,17,17,ns,ns
mean_HigherPassFixation,max_integration_cost,Adv,-0.2298599785049203,-0.1994111159329367,0.3917708136317951,0.4590406999946528,16,Gathering0,9,,3,1,16,16,ns,ns
mean_HigherPassFixation,max_integration_cost,Adv,-0.5347165046027527,-0.5865771025470979,0.0270023656569408,0.0133228699303579,17,Gathering0,10,,3,1,17,17,*,*
mean_HigherPassFixation,max_integration_cost,Ele,-0.1701283064163387,-0.1550191685842261,0.0304324348588554,0.0488708161632922,162,Gathering0,all,,3,10,162,162,*,*
