pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_nonzero_FF,flesch_reading_ease,Adv,-0.008943042687963098,-0.017647489508711988,0.7906051646751647,0.6002813429903358,884,FirstReading,all,,3,10,162,884,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.08102925941818165,0.04411103030086716,0.445140709900072,0.6780118817793264,91,FirstReading,1,,3,1,18,91,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.10057320321840571,0.009573896609437929,0.31452434176919036,0.9239160128731283,102,FirstReading,2,,3,1,17,102,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.15263969347328404,-0.0036264115220730063,0.15328431163376677,0.9730940752325224,89,FirstReading,3,,3,1,14,89,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.04685159489669388,0.026948933206896876,0.6798375084059738,0.8124333150319106,80,FirstReading,4,,3,1,17,80,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.15835094185969142,0.11901616347830407,0.19043877748923507,0.32643258493197147,70,FirstReading,5,,3,1,14,70,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.23681678665087633,-0.2919720531856548,0.038110328790571524,0.009979374665996018,77,FirstReading,6,,3,1,15,77,*,**
mean_nonzero_FF,flesch_reading_ease,Adv,-0.026524914193082234,0.007631429019060407,0.7803386674985988,0.9360603883795005,113,FirstReading,7,,3,1,17,113,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.11975813819345114,-0.06188168367457244,0.2451531231324838,0.549208743777659,96,FirstReading,8,,3,1,17,96,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.10917750440836689,0.1271366302262689,0.31126917446631674,0.23784453416433216,88,FirstReading,9,,3,1,16,88,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.04733420706953822,-0.043883777694191856,0.6806870035423341,0.7028341027028773,78,FirstReading,10,,3,1,17,78,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.016838003249206486,-0.04207003121567569,0.6365350878324758,0.23755887875253387,790,FirstReading,all,,3,10,162,790,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.030334248870941768,-0.09257335102268623,0.7947673990481265,0.42639795609656894,76,FirstReading,1,,3,1,18,76,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,0.05432633167361239,0.03080947137258589,0.6030285638012409,0.7681602777354402,94,FirstReading,2,,3,1,17,94,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,0.1346140925347121,0.06668352834391181,0.23997786719876119,0.5618668485050091,78,FirstReading,3,,3,1,14,78,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.11381179911487624,-0.12648848207828356,0.32761460522871494,0.27623949766276995,76,FirstReading,4,,3,1,17,76,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.005665227633160472,0.03656224209517139,0.9666387970287424,0.7871497848978761,57,FirstReading,5,,3,1,14,57,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,0.1647699166177066,0.1911536992841508,0.17285761056329685,0.11292878781075544,70,FirstReading,6,,3,1,15,70,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.012233980101128143,-0.08177006466310653,0.9038445448616711,0.4186441507225731,100,FirstReading,7,,3,1,17,100,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.19317654576844903,-0.16604734225342324,0.06971060322486813,0.11990797759694735,89,FirstReading,8,,3,1,17,89,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.3239770402468693,-0.31629802675534485,0.004048654958926853,0.005071745206706329,77,FirstReading,9,,3,1,16,77,**,**
mean_nonzero_FF,flesch_reading_ease,Ele,0.025600829091743764,0.05095885368440066,0.8297723931110385,0.6685373914716175,73,FirstReading,10,,3,1,17,73,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,0.019857832138073482,0.002511027686309557,0.5773128830254086,0.9438230336286582,790,FirstReading,all,,3,10,162,790,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,0.21238522527621578,0.2516220926745884,0.0654868436806974,0.028332988110586356,76,FirstReading,1,,3,1,18,76,ns,*
mean_nonzero_FF,flesch_reading_ease,diff,0.011106433820722102,-0.029956658980361105,0.9153892633341696,0.7744041923694078,94,FirstReading,2,,3,1,17,94,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,0.02168491560032872,-0.006063678344329963,0.8505269845079596,0.957979855047947,78,FirstReading,3,,3,1,14,78,ns,ns
