pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_nonzero_FF,flesch_reading_ease,Adv,-0.05600900382915954,-0.03113120537507302,0.4789986869567255,0.694125523071719,162,FirstReading,all,,3,10,162,162,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.049802437933179344,0.14344685242518057,0.8444178568087607,0.5701354475609233,18,FirstReading,1,,3,1,18,18,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.5851106218741687,-0.49509803921568635,0.013612799301675374,0.043314416509935456,17,FirstReading,2,,3,1,17,17,*,*
mean_nonzero_FF,flesch_reading_ease,Adv,0.40951886790283776,0.46373626373626364,0.14591633931651432,0.09487633150889971,14,FirstReading,3,,3,1,14,14,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.44058676002861824,0.46323529411764713,0.07671647796525469,0.06111337130203484,17,FirstReading,4,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.020125841148832667,0.059340659340659345,0.9455554805634826,0.8403017626906826,14,FirstReading,5,,3,1,14,14,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.11207726783484431,0.11071428571428568,0.6908715094950614,0.6944626472070963,15,FirstReading,6,,3,1,15,15,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.6158002199266135,-0.6397058823529412,0.008492449874196102,0.005684790088863971,17,FirstReading,7,,3,1,17,17,**,**
mean_nonzero_FF,flesch_reading_ease,Adv,-0.25842299790935463,-0.27696078431372556,0.3165885070604791,0.281843162514077,17,FirstReading,8,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.37557478323835713,0.4176470588235294,0.15170064739768482,0.1074740793993006,16,FirstReading,9,,3,1,16,16,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.3478845525773354,-0.24524836001437192,0.17121629960264248,0.3427413207280058,17,FirstReading,10,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,0.01813413324609761,0.0005588965465428013,0.8188367587492006,0.9943681727367434,162,FirstReading,all,,3,10,162,162,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.021273595070600233,-0.04850361197110423,0.933226981434123,0.848430360162973,18,FirstReading,1,,3,1,18,18,ns,ns
