pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_FirstPassGD,flesch_reading_ease,Adv,-0.10305051876879495,-0.13658043652948212,0.19191350736514884,0.08308596019881793,162,FirstReading,all,,3,10,162,162,ns,ns
mean_FirstPassGD,flesch_reading_ease,Adv,-0.15493063937989496,-0.08359133126934985,0.5393141426837614,0.7415774315720882,18,FirstReading,1,,3,1,18,18,ns,ns
mean_FirstPassGD,flesch_reading_ease,Adv,0.20308741624646223,0.12254901960784316,0.434349836059182,0.639378272107459,17,FirstReading,2,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,Adv,-0.09345656527128554,-0.2043956043956044,0.7506545420629653,0.4833462230422234,14,FirstReading,3,,3,1,14,14,ns,ns
mean_FirstPassGD,flesch_reading_ease,Adv,0.09855002644892785,0.16666666666666669,0.7066938195716493,0.5226031535880373,17,FirstReading,4,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,Adv,-0.03754971691184423,-0.03736263736263736,0.8985902093607917,0.899093096973967,14,FirstReading,5,,3,1,14,14,ns,ns
mean_FirstPassGD,flesch_reading_ease,Adv,-0.2050433377276839,-0.3285714285714285,0.46350955670907285,0.23180969720615968,15,FirstReading,6,,3,1,15,15,ns,ns
mean_FirstPassGD,flesch_reading_ease,Adv,-0.5039767556799897,-0.29411764705882354,0.03913797226250809,0.2518444167529261,17,FirstReading,7,,3,1,17,17,*,ns
mean_FirstPassGD,flesch_reading_ease,Adv,0.0025634420006486053,-0.09558823529411767,0.9922094145489194,0.7151579154299805,17,FirstReading,8,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,Adv,-0.12252349265680824,-0.10588235294117648,0.6512340797913961,0.6963341050381157,16,FirstReading,9,,3,1,16,16,ns,ns
mean_FirstPassGD,flesch_reading_ease,Adv,-0.3997675237958586,-0.4782343020280252,0.11186516129813162,0.05216363391197156,17,FirstReading,10,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,Ele,-0.18426034768957522,-0.15965811346239359,0.01891381601091126,0.04241581290217322,162,FirstReading,all,,3,10,162,162,*,*
mean_FirstPassGD,flesch_reading_ease,Ele,-0.24295997873077374,-0.1331269349845201,0.3313233963393142,0.5984607651208833,18,FirstReading,1,,3,1,18,18,ns,ns
mean_FirstPassGD,flesch_reading_ease,Ele,0.1946053224741533,-0.04414470480258694,0.4541816255916102,0.8664020776914338,17,FirstReading,2,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,Ele,-0.30918046331863214,-0.367032967032967,0.2820942718148696,0.1967388717074885,14,FirstReading,3,,3,1,14,14,ns,ns
mean_FirstPassGD,flesch_reading_ease,Ele,-0.2387018700888552,-0.29307179021717444,0.35618240261538453,0.2536135646851884,17,FirstReading,4,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,Ele,-0.1294339399332488,-0.10781084631673665,0.6592072624815506,0.713728121579053,14,FirstReading,5,,3,1,14,14,ns,ns
mean_FirstPassGD,flesch_reading_ease,Ele,0.10682938614403037,0.06428571428571428,0.7047313638134769,0.8199479653196377,15,FirstReading,6,,3,1,15,15,ns,ns
mean_FirstPassGD,flesch_reading_ease,Ele,-0.465191956891754,-0.45833333333333337,0.059885519946188084,0.06427130284402022,17,FirstReading,7,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,Ele,0.26352181368151073,0.14705882352941177,0.3067913208938673,0.5732772908660002,17,FirstReading,8,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,Ele,-0.5427213662363441,-0.45033124774452404,0.029837799555404963,0.08004610163255983,16,FirstReading,9,,3,1,16,16,*,ns
mean_FirstPassGD,flesch_reading_ease,Ele,-0.39338900872875926,-0.10784313725490197,0.11823964191640607,0.6803504180481621,17,FirstReading,10,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,diff,-0.031152137639829547,-0.03149071776791737,0.693930157382364,0.6907729169330856,162,FirstReading,all,,3,10,162,162,ns,ns
mean_FirstPassGD,flesch_reading_ease,diff,0.09650847875092382,0.25696594427244585,0.703242519136898,0.30330908061762435,18,FirstReading,1,,3,1,18,18,ns,ns
mean_FirstPassGD,flesch_reading_ease,diff,0.10602614565324747,0.16911764705882354,0.6854747701604142,0.5164176230839818,17,FirstReading,2,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,diff,-0.25746354511192737,-0.4241758241758242,0.37419554480519784,0.13063731043811047,14,FirstReading,3,,3,1,14,14,ns,ns
mean_FirstPassGD,flesch_reading_ease,diff,0.4383446247953701,0.33721649501976136,0.07840551760688622,0.18562108519028303,17,FirstReading,4,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,diff,-0.22696805102825773,-0.2835164835164835,0.4351986985977003,0.32596594744177265,14,FirstReading,5,,3,1,14,14,ns,ns
mean_FirstPassGD,flesch_reading_ease,diff,-0.27116882565069983,-0.33928571428571425,0.3282707010973283,0.2160289253419548,15,FirstReading,6,,3,1,15,15,ns,ns
mean_FirstPassGD,flesch_reading_ease,diff,-0.365036214611371,-0.2843137254901961,0.14966406793812284,0.26873189936784353,17,FirstReading,7,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,diff,0.12667822028978493,0.13725490196078433,0.6280429017904302,0.5993690521648235,17,FirstReading,8,,3,1,17,17,ns,ns
mean_FirstPassGD,flesch_reading_ease,diff,0.11489023728972955,0.11176470588235293,0.671791769658315,0.6802736949858406,16,FirstReading,9,,3,1,16,16,ns,ns
mean_FirstPassGD,flesch_reading_ease,diff,-0.38716818325536234,-0.5343137254901961,0.12469808136624645,0.027139775804459705,17,FirstReading,10,,3,1,17,17,ns,*
mean_FirstPassGD,dale_chall_score,Adv,0.2598687064358319,0.2720355208378741,0.0008391734343859624,0.0004619276827292564,162,FirstReading,all,,3,10,162,162,***,***
mean_FirstPassGD,dale_chall_score,Adv,0.1642018575418518,0.1413828689370485,0.5149958311474038,0.5757540929543488,18,FirstReading,1,,3,1,18,18,ns,ns
mean_FirstPassGD,dale_chall_score,Adv,0.19511906343173463,0.18761499541099452,0.45296762416263425,0.470862232085169,17,FirstReading,2,,3,1,17,17,ns,ns
mean_FirstPassGD,dale_chall_score,Adv,0.08809918455373159,0.15604395604395604,0.7645691978870452,0.594234700580851,14,FirstReading,3,,3,1,14,14,ns,ns
mean_FirstPassGD,dale_chall_score,Adv,-0.08245996334568007,-0.04411764705882353,0.7530424130345059,0.8664832749198724,17,FirstReading,4,,3,1,17,17,ns,ns
mean_FirstPassGD,dale_chall_score,Adv,-0.10594219885238704,-0.06373626373626373,0.7185042222639382,0.828626422928612,14,FirstReading,5,,3,1,14,14,ns,ns
mean_FirstPassGD,dale_chall_score,Adv,0.320835254377808,0.3321428571428571,0.2436392391212847,0.2264717590707243,15,FirstReading,6,,3,1,15,15,ns,ns
mean_FirstPassGD,dale_chall_score,Adv,0.6559717484010902,0.6862745098039217,0.004244199006052377,0.002349040919826813,17,FirstReading,7,,3,1,17,17,**,**
mean_FirstPassGD,dale_chall_score,Adv,0.31355841166376114,0.29656862745098045,0.22036342870342185,0.24772866621670098,17,FirstReading,8,,3,1,17,17,ns,ns
mean_FirstPassGD,dale_chall_score,Adv,0.15298095686324928,0.10588235294117648,0.5716434071233936,0.6963341050381157,16,FirstReading,9,,3,1,16,16,ns,ns
mean_FirstPassGD,dale_chall_score,Adv,0.5101623687466523,0.5098039215686275,0.03641437669291433,0.036568145531216414,17,FirstReading,10,,3,1,17,17,*,*
mean_FirstPassGD,dale_chall_score,Ele,0.35048690301659025,0.3347900797494257,4.823767701272998e-06,1.333608037035629e-05,162,FirstReading,all,,3,10,162,162,***,***
mean_FirstPassGD,dale_chall_score,Ele,0.26895050806388515,0.17759424152948136,0.2805054388509484,0.48080294810196034,18,FirstReading,1,,3,1,18,18,ns,ns
mean_FirstPassGD,dale_chall_score,Ele,0.38999805586562064,0.38970588235294124,0.12173029741659032,0.12203439858782986,17,FirstReading,2,,3,1,17,17,ns,ns
mean_FirstPassGD,dale_chall_score,Ele,0.45906588866867454,0.4197802197802198,0.0986959974740848,0.13510107382914271,14,FirstReading,3,,3,1,14,14,ns,ns
mean_FirstPassGD,dale_chall_score,Ele,0.4842499668415075,0.5490196078431373,0.04886448475965853,0.022461151768182565,17,FirstReading,4,,3,1,17,17,*,*
mean_FirstPassGD,dale_chall_score,Ele,0.3806156921515691,0.3274725274725274,0.17941564585573627,0.2530710007719406,14,FirstReading,5,,3,1,14,14,ns,ns
mean_FirstPassGD,dale_chall_score,Ele,0.1582076456129019,0.16785714285714282,0.5733362498448729,0.5498555542278019,15,FirstReading,6,,3,1,15,15,ns,ns
mean_FirstPassGD,dale_chall_score,Ele,0.7795273980489529,0.7647058823529413,0.0002248945307478052,0.00034961095004698486,17,FirstReading,7,,3,1,17,17,***,***
mean_FirstPassGD,dale_chall_score,Ele,0.3067496413015211,0.27450980392156865,0.23108621654843287,0.28629837865879204,17,FirstReading,8,,3,1,17,17,ns,ns
mean_FirstPassGD,dale_chall_score,Ele,0.12721564292713866,0.0588235294117647,0.638712102129653,0.8286807500332258,16,FirstReading,9,,3,1,16,16,ns,ns
mean_FirstPassGD,dale_chall_score,Ele,0.39326798961599485,0.17156862745098042,0.11836299584736655,0.5102663098717943,17,FirstReading,10,,3,1,17,17,ns,ns
mean_FirstPassGD,dale_chall_score,diff,0.15172185472665353,0.1456858774337811,0.053939393442534386,0.06434216223956146,162,FirstReading,all,,3,10,162,162,ns,ns
mean_FirstPassGD,dale_chall_score,diff,-0.06098469457950323,0.08363449746446507,0.8100323963516262,0.7414482994479231,18,FirstReading,1,,3,1,18,18,ns,ns
mean_FirstPassGD,dale_chall_score,diff,0.012267959575142078,-0.04656862745098039,0.9627279300452309,0.8591333762840925,17,FirstReading,2,,3,1,17,17,ns,ns
mean_FirstPassGD,dale_chall_score,diff,0.1550851356183159,0.13406593406593406,0.5965310276693637,0.6477195279851131,14,FirstReading,3,,3,1,14,14,ns,ns
mean_FirstPassGD,dale_chall_score,diff,0.041446244975587666,0.11274509803921569,0.8745059443183071,0.666592049963725,17,FirstReading,4,,3,1,17,17,ns,ns
mean_FirstPassGD,dale_chall_score,diff,0.3391376707078771,0.3186813186813187,0.23554565048698825,0.2667849608113615,14,FirstReading,5,,3,1,14,14,ns,ns
mean_FirstPassGD,dale_chall_score,diff,0.7015715387302135,0.6702415544972604,0.0035580798156938033,0.006252774721472601,15,FirstReading,6,,3,1,15,15,**,**
mean_FirstPassGD,dale_chall_score,diff,-0.20437502791145515,-0.23053345841350958,0.43137907752448373,0.3733636789037551,17,FirstReading,7,,3,1,17,17,ns,ns
mean_FirstPassGD,dale_chall_score,diff,-0.16812193186374555,-0.12745098039215688,0.5189263981765694,0.6259301508467394,17,FirstReading,8,,3,1,17,17,ns,ns
mean_FirstPassGD,dale_chall_score,diff,-0.09729528610218575,-0.10294117647058824,0.719996229348508,0.7044103818167706,16,FirstReading,9,,3,1,16,16,ns,ns
