pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_nonzero_TF,depid_density,Adv,0.0935125645590316,0.0989177692432216,0.0053942942689885,0.0032389695549948,884,Hunting0,all,,3,10,162,884,**,**
mean_nonzero_TF,depid_density,Adv,-0.0021129888121187,-0.0651637110562085,0.9841406915870988,0.5394256581482582,91,Hunting0,1,,3,1,18,91,ns,ns
mean_nonzero_TF,depid_density,Adv,0.0574341196013852,0.136730535731803,0.566386845499968,0.1705817968469078,102,Hunting0,2,,3,1,17,102,ns,ns
mean_nonzero_TF,depid_density,Adv,0.0311251995812377,0.0436272155841516,0.7721576744463932,0.6847768343459504,89,Hunting0,3,,3,1,14,89,ns,ns
mean_nonzero_TF,depid_density,Adv,-0.0253681113796429,-0.0465086346393854,0.8232521031473082,0.6820548819245615,80,Hunting0,4,,3,1,17,80,ns,ns
mean_nonzero_TF,depid_density,Adv,0.1159448540355905,0.1348761250709293,0.3391600220482584,0.2656088429411019,70,Hunting0,5,,3,1,14,70,ns,ns
mean_nonzero_TF,depid_density,Adv,0.1906866085660924,0.2382331194089216,0.0966772522863384,0.0369390698946617,77,Hunting0,6,,3,1,15,77,ns,*
mean_nonzero_TF,depid_density,Adv,0.3297682069130828,0.2907564680753235,0.0003613369511647,0.0017828642977432,113,Hunting0,7,,3,1,17,113,***,**
mean_nonzero_TF,depid_density,Adv,0.0632560371126277,0.1543239454344928,0.5403559054679664,0.1332879193598097,96,Hunting0,8,,3,1,17,96,ns,ns
mean_nonzero_TF,depid_density,Adv,0.1425747016071148,0.1531880366053861,0.1851291626777837,0.1541833911888918,88,Hunting0,9,,3,1,16,88,ns,ns
mean_nonzero_TF,depid_density,Adv,-0.0236810352394882,-0.0510516743276916,0.8369491699795282,0.6571247316625626,78,Hunting0,10,,3,1,17,78,ns,ns
mean_nonzero_TF,depid_density,Ele,0.0299693423674059,0.0449325430693117,0.4002349918281173,0.2071094323309709,790,Hunting0,all,,3,10,162,790,ns,ns
mean_nonzero_TF,depid_density,Ele,0.1404470252661691,0.0352757008606973,0.2262384946805546,0.7622527255490844,76,Hunting0,1,,3,1,18,76,ns,ns
mean_nonzero_TF,depid_density,Ele,-0.1278066301795305,-0.0695199963215231,0.2195996975926517,0.5055330481546001,94,Hunting0,2,,3,1,17,94,ns,ns
mean_nonzero_TF,depid_density,Ele,-0.0509509498975488,-0.0106108947665045,0.6577588952517036,0.9265371878514774,78,Hunting0,3,,3,1,14,78,ns,ns
mean_nonzero_TF,depid_density,Ele,-0.0238264791057795,-0.0435146001903997,0.8381183645628852,0.7089688734984234,76,Hunting0,4,,3,1,17,76,ns,ns
mean_nonzero_TF,depid_density,Ele,-0.0539470173810518,-0.038175874507703,0.690218817475536,0.777990383859594,57,Hunting0,5,,3,1,14,57,ns,ns
mean_nonzero_TF,depid_density,Ele,0.1598540909817668,0.1323850171324559,0.1862106939896311,0.2746194850715606,70,Hunting0,6,,3,1,15,70,ns,ns
mean_nonzero_TF,depid_density,Ele,0.2814503377439762,0.3095724393498026,0.0045582491196319,0.0017233878587799,100,Hunting0,7,,3,1,17,100,**,**
mean_nonzero_TF,depid_density,Ele,0.1031677888986786,0.1320724317931654,0.3360021783578381,0.2172894006618808,89,Hunting0,8,,3,1,17,89,ns,ns
mean_nonzero_TF,depid_density,Ele,0.0364101519011742,0.0867438287640223,0.7532353116882893,0.4531706600058705,77,Hunting0,9,,3,1,16,77,ns,ns
mean_nonzero_TF,depid_density,Ele,-0.0412987859141468,-0.0214133669414353,0.7286553224944958,0.8572949097728461,73,Hunting0,10,,3,1,17,73,ns,ns
mean_nonzero_TF,depid_density,diff,0.0711639161105729,0.0627953495237844,0.0455469034075937,0.0777435295685628,790,Hunting0,all,,3,10,162,790,*,ns
mean_nonzero_TF,depid_density,diff,0.0099663510958649,0.0080281096228064,0.9319062084848329,0.9451260453236128,76,Hunting0,1,,3,1,18,76,ns,ns
